chinese,english,status,source
坐地分赃,divide the booty on the spot,VERIFIED,PETCI
坐立不安,be in a fidget,VERIFIED,PETCI
坐观成败,sit and watch the results of,VERIFIED,PETCI
坐困愁城,wallow in a slough of despondency,VERIFIED,PETCI
坐井观天,have a very narrow view,VERIFIED,PETCI
坐享其成,without striking a blow,VERIFIED,PETCI
坐吃山空,sit at home eating away one's resources,VERIFIED,PETCI
坐视不救,sit back and watch without going to the rescue,VERIFIED,PETCI
坐失良机,let a golden opportunity slip by,VERIFIED,PETCI
坐收渔利,have victory fall into one's lap,VERIFIED,PETCI
坐山观虎斗,"watch in safety while others fight, then reap the spoils when both sides are exhausted",VERIFIED,PETCI
坐以待毙,sit passively for one's end,VERIFIED,PETCI
坐以待旦,sit up and wait for daybreak,VERIFIED,PETCI
坐卧不宁,feel restless,VERIFIED,PETCI
垂头丧气,crest fallen,VERIFIED,PETCI
垂手而得,acquire a thing easily,VERIFIED,PETCI
垂死挣扎,in one's death throes,VERIFIED,PETCI
垂涎三尺,one's mouth waters after,VERIFIED,PETCI
垂涎欲滴,keep a covetous eye on,VERIFIED,PETCI
埋头苦干,hammer,VERIFIED,PETCI
城门失火，殃及池鱼,in a disturbance innocent bystanders get into trouble,VERIFIED,PETCI
城下之盟,treaty made under coercion,VERIFIED,PETCI
执迷不悟,persist in one's wrong course,VERIFIED,PETCI
堂堂正正,impressive or dignified in personal appearance,VERIFIED,PETCI
堂堂之阵,awe-inspiring military strength,VERIFIED,PETCI
坚壁清野,strengthen the bulwarks and leave no provisions outside,VERIFIED,PETCI
坚不可摧,impregnable,VERIFIED,PETCI
坚定不移,firm and unshakable,VERIFIED,PETCI
坚甲利兵,strong armor and sharp weapons,VERIFIED,PETCI
坚信不疑,have infinite faith in,VERIFIED,PETCI
坚贞不屈,faithful to the bitter end,VERIFIED,PETCI
坚持不懈,persistent,VERIFIED,PETCI
坚持不渝,stick to,VERIFIED,PETCI
坚忍不拔,firm and unyielding,VERIFIED,PETCI
坚韧不拔,bear up,VERIFIED,PETCI
坚如磐石,solid as a rock,VERIFIED,PETCI
报仇雪恨,take one's revenge,VERIFIED,PETCI
涂脂抹粉,whitewash,VERIFIED,PETCI
塞翁失马，焉知非福,loss sometimes spells gain,VERIFIED,PETCI
墨汁未干,before the ink is dry,VERIFIED,PETCI
墨守成规,stick to established practice,VERIFIED,PETCI
壁垒森严,strongly fortified,VERIFIED,PETCI
壮志凌云,with soaring determination,VERIFIED,PETCI
寿比南山,"""may you live as long as the southern mountain"" (form",VERIFIED,PETCI
寿终正寝,die a natural death,VERIFIED,PETCI
外强中干,strong in appearance but weak in reality,VERIFIED,PETCI
多多益善,the more the merrier,VERIFIED,PETCI
多行不义必自毙,"if one keeps on doing unrighteous deeds, he is bound to come to ruin",VERIFIED,PETCI
多愁善感,sentimental,VERIFIED,PETCI
多事之秋,troubled times,VERIFIED,PETCI
多此一举,make an unnecessary move,VERIFIED,PETCI
多才多艺,gifted in many ways,VERIFIED,PETCI
夙兴夜寐,rise early and retire late,VERIFIED,PETCI
夜郎自大,ignorant boast fulness,VERIFIED,PETCI
夜长梦多,a long delay means many hitches,VERIFIED,PETCI
夜以继日,day and night,VERIFIED,PETCI
梦寐以求,dream of,VERIFIED,PETCI
梦幻泡影,a sheer illusion,VERIFIED,PETCI
大模大样,in an ostentatious manner,VERIFIED,PETCI
大谬不然,entirely wrong,VERIFIED,PETCI
大鸣大放,free airing of views,VERIFIED,PETCI
大名鼎鼎,well-known,VERIFIED,PETCI
大发雷霆,go into a rage,VERIFIED,PETCI
大放厥词,talk a lot of nonsense,VERIFIED,PETCI
大风大浪,violent storms and waves,VERIFIED,PETCI
大腹便便,potbellied,VERIFIED,PETCI
大打出手,strike violently,VERIFIED,PETCI
大刀阔斧,deal with a matter summarily without regard to details,VERIFIED,PETCI
大敌当前,confronted by the sworn enemies,VERIFIED,PETCI
大庭广众,a public occasion,VERIFIED,PETCI
大同小异,largely identical but with minor differences,VERIFIED,PETCI
大逆不道,monstrous crime,VERIFIED,PETCI
大功告成,has been accomplished,VERIFIED,PETCI
大公无私,just and selfless,VERIFIED,PETCI
大快人心,cheer the people greatly,VERIFIED,PETCI
大海捞针,search for a needle in a haystack,VERIFIED,PETCI
大喊大叫,make a big clamor about ...,VERIFIED,PETCI
大旱望云霓,long for a rain cloud during a drought,VERIFIED,PETCI
大惑不解,be extremely puzzled,VERIFIED,PETCI
大惊小怪,a storm in a teacup,VERIFIED,PETCI
大惊失色,turn pale with fright,VERIFIED,PETCI
大器晚成,talent mature slowly,VERIFIED,PETCI
大千世界,a universe of many universes,VERIFIED,PETCI
大权旁落,power has fallen into the hands of others,VERIFIED,PETCI
大喜过望,be overjoyed,VERIFIED,PETCI
大显神通,show what one is capable of,VERIFIED,PETCI
大显身手,display one's talents to the full,VERIFIED,PETCI
大相径庭,far apart,VERIFIED,PETCI
大兴土木,go for large-scale construction,VERIFIED,PETCI
大智若愚,still waters run deep,VERIFIED,PETCI
大张旗鼓,on a grand scale,VERIFIED,PETCI
大吃大喝,extravagant eating end drinking,VERIFIED,PETCI
大吵大闹,make a scene,VERIFIED,PETCI
大处落墨,pay attention to the important points,VERIFIED,PETCI
大处着眼，小处着手,keep the general goal in sight and take the daily tasks in hand,VERIFIED,PETCI
大吹大擂,brag about,VERIFIED,PETCI
大是大非,major issues of principle,VERIFIED,PETCI
大势所趋,the trend of the times,VERIFIED,PETCI
大失所望,to one's great disappointment,VERIFIED,PETCI
大势已去,the game is as good as lost,VERIFIED,PETCI
大杀风景,dampen the spirit,VERIFIED,PETCI
大手大脚,wasteful,VERIFIED,PETCI
大声疾呼,cry out for,VERIFIED,PETCI
大书特书,write volumes about,VERIFIED,PETCI
大慈大悲,infinite compassion and mercy,VERIFIED,PETCI
大材小用,waste or misuse of materials or talents,VERIFIED,PETCI
大而无当,unwieldy,VERIFIED,PETCI
大义灭亲,punish one's own relatives in the cause of justice,VERIFIED,PETCI
大义凛然,inspiring awe by upholding justice,VERIFIED,PETCI
大摇大摆,strutting,VERIFIED,PETCI
大有可为,have bright prospects,VERIFIED,PETCI
大有人在,there are plenty of such people,VERIFIED,PETCI
大有作为,be able to develop one's ability to the full,VERIFIED,PETCI
大言不惭,boast without shame,VERIFIED,PETCI
大鱼吃小鱼,the great fish eat up the small,VERIFIED,PETCI
大雨如注,the rain came down in sheets,VERIFIED,PETCI
天崩地坼,dreadful calamities,VERIFIED,PETCI
天不怕，地不怕,nothing daunted,VERIFIED,PETCI
天马行空,a powerful and unconstrained style,VERIFIED,PETCI
天南地北,poles apart,VERIFIED,PETCI
天怒人怨,widespread indignation and discontent,VERIFIED,PETCI
天罗地网,tight encirclement,VERIFIED,PETCI
天各一方,live far apart from each other,VERIFIED,PETCI
天高地厚,complexity of things,VERIFIED,PETCI
天公地道,fair and reasonable,VERIFIED,PETCI
天花乱坠,in superlative terms,VERIFIED,PETCI
天昏地暗,in a state of chaos and darkness,VERIFIED,PETCI
天经地义,nature's law and earth's way,VERIFIED,PETCI
天下太平,all will be right with the world,VERIFIED,PETCI
天下无敌,invincible,VERIFIED,PETCI
天下无双,unequalled in all the world,VERIFIED,PETCI
天下乌鸦一般黑,evil people are bad all over the world,VERIFIED,PETCI
天之骄子,an unusually lucky person,VERIFIED,PETCI
天真烂漫,naive,VERIFIED,PETCI
天诛地灭,may the gods strike down!,VERIFIED,PETCI
天长地久,everlasting and unchanging,VERIFIED,PETCI
天长日久,after a considerable period of time,VERIFIED,PETCI
天壤之别,a world of difference,VERIFIED,PETCI
天字第一号,the world's number one,VERIFIED,PETCI
天灾人祸,natural and man-made calamities,VERIFIED,PETCI
天造地设,heavenly,VERIFIED,PETCI
天衣无缝,faultless,VERIFIED,PETCI
天涯海角,the ends of the earth,VERIFIED,PETCI
天有不测风云,something unexpected may happen any time,VERIFIED,PETCI
天无绝人之路,there is always a way out,VERIFIED,PETCI
天网恢恢，疏而不漏,God's justice is inescapable,VERIFIED,PETCI
太公钓鱼，愿者上钩,willingly play into somebody's hands,VERIFIED,PETCI
太岁头上动土,provoke somebody far superior in power or strength,VERIFIED,PETCI
失败为成功之母,failure is the mother of success,VERIFIED,PETCI
失之东隅，收之桑榆,make up on the roundabouts what you lose on the swings,VERIFIED,PETCI
失之交臂,miss a good chance,VERIFIED,PETCI
失魂落魄,be scared out of one's wits,VERIFIED,PETCI
奄奄一息,on one's death bed,VERIFIED,PETCI
奇谈怪论,fantastic stories and theories,VERIFIED,PETCI
奇货可居,hoard as a rare commodity to corner the market,VERIFIED,PETCI
奇形怪状,grotesque or fantastic in shape or appearance,VERIFIED,PETCI
奇珍异宝,very rare and valuable objects,VERIFIED,PETCI
奇装异服,outlandish clothes,VERIFIED,PETCI
奇耻大辱,deep disgrace,VERIFIED,PETCI
奇文共赏,a remarkable work should be shared and its subjects discussed,VERIFIED,PETCI
奉陪到底,take somebody on right to the very end,VERIFIED,PETCI
奉公守法,law-abiding,VERIFIED,PETCI
奉行故事,fellow old customs,VERIFIED,PETCI
奉若神明,revere something as sacred,VERIFIED,PETCI
奔走相告,lose no time in telling each other the news,VERIFIED,PETCI
奋不顾身,regardless of one's personal danger,VERIFIED,PETCI
奋发图强,work hard for the prosperity of the country,VERIFIED,PETCI
奋起直追,do all one can do to catch up,VERIFIED,PETCI
奴唇婢舌,loose-tongued like a slave or maid,VERIFIED,PETCI
奴颜婢膝,be subservient to,VERIFIED,PETCI
好大喜功,have a fondness for the grandiose,VERIFIED,PETCI
好高骛远,aim too high,VERIFIED,PETCI
好好先生,a yesman,VERIFIED,PETCI
好汉不吃眼前亏,a wise man doesn't fight against impossible odds,VERIFIED,PETCI
好景不常,good times don't fast long,VERIFIED,PETCI
好吃懒做,be fond of eating and averse to work,VERIFIED,PETCI
好事多磨,the road to happiness is strewn with setbacks,VERIFIED,PETCI
好逸恶劳,love ease and hate work,VERIFIED,PETCI
好为人师,like to lecture people,VERIFIED,PETCI
如梦初醒,come to realize,VERIFIED,PETCI
如法炮制,do according to instructions,VERIFIED,PETCI
如汤沃雪,easily done,VERIFIED,PETCI
如鸟兽散,flee helter-skelter,VERIFIED,PETCI
如雷贯耳,reverberate like thunder,VERIFIED,PETCI
如狼牧羊,rule the people oppressively,VERIFIED,PETCI
如狼似虎,like cruel beasts of prey,VERIFIED,PETCI
如临大敌,tense as a cat humping its back,VERIFIED,PETCI
如履薄冰,as if walking on thin ice,VERIFIED,PETCI
如鲠在喉,like a fishbone getting stuck in the throat,VERIFIED,PETCI
如虎添翼,with might redoubled,VERIFIED,PETCI
如花似玉,as beautiful as flowers and jade,VERIFIED,PETCI
如获至宝,seem to have hit the jackpot,VERIFIED,PETCI
如火如荼,fiery,VERIFIED,PETCI
如饥似渴,with great eagerness,VERIFIED,PETCI
如胶似漆,be deeply attached to each other,VERIFIED,PETCI
如箭在弦,poised to strike,VERIFIED,PETCI
如堕五里雾中,utterly mystified,VERIFIED,PETCI
如出一辙,follow the same pattern,VERIFIED,PETCI
如释重负,heave a sigh of relief,VERIFIED,PETCI
如数家珍,can speak on a subject with great familiarity,VERIFIED,PETCI
如日中天,to ride on the crest of success,VERIFIED,PETCI
如入无人之境,breaking all resistance,VERIFIED,PETCI
如坐针毡,feel as if sitting on a bed of nails,VERIFIED,PETCI
如此而已,that's what it all adds up to,VERIFIED,PETCI
如丧考妣,look as if one had Lost one's parents,VERIFIED,PETCI
如蚁附膻,a swarm of people running after unwholesome things or leaning on influential people for support,VERIFIED,PETCI
如意算盘,wishful thinking,VERIFIED,PETCI
如影随形,like the shadow following the person,VERIFIED,PETCI
如鱼得水,like fish let into the water,VERIFIED,PETCI
如愿以偿,achieve what one wishes,VERIFIED,PETCI
妄自菲薄,inferiority complex,VERIFIED,PETCI
妄自尊大,have too high an opinion of oneself,VERIFIED,PETCI
妖魔鬼怪,monsters of every description,VERIFIED,PETCI
妖言惑众,wild rumors mislead the masses,VERIFIED,PETCI
妙不可言,too wonderful for words,VERIFIED,PETCI
妙趣横生,full of wit and humour,VERIFIED,PETCI
妙手回春,effect a miraculous cure and bring the dying back to life,VERIFIED,PETCI
妻离子散,with one's family broken up,VERIFIED,PETCI
始终不懈,forever strive without cease,VERIFIED,PETCI
始终不渝,unswervingly,VERIFIED,PETCI
始终如一,consistent,VERIFIED,PETCI
姗姗来迟,be late,VERIFIED,PETCI
姑息养奸,toleration tends to breed traitors,VERIFIED,PETCI
姑妄听之,just let him talk and let's just listen,VERIFIED,PETCI
姑妄言之,tell somebody something for what it's worth,VERIFIED,PETCI
委曲求全,in a spirit of conciliation and compromise,VERIFIED,PETCI
威风凛凛,with great dignity,VERIFIED,PETCI
威逼利诱,coercion and coaxing,VERIFIED,PETCI
威信扫地,completely discredited,VERIFIED,PETCI
威武不屈,not bow to pressure,VERIFIED,PETCI
娓娓动听,be pleasing to the ear,VERIFIED,PETCI
娓娓而谈,talk familiarly on and on,VERIFIED,PETCI
婆婆妈妈,womanishly fussy,VERIFIED,PETCI
嫁祸于人,put blame on others,VERIFIED,PETCI
嫣然一笑,the captivating smile of a woman,VERIFIED,PETCI
嬉皮笑脸,grinning cheekily,VERIFIED,PETCI
娇生惯养,pampered since childhood,VERIFIED,PETCI
孑然一身,all alone in the world,VERIFIED,PETCI
字里行间,between the lines,VERIFIED,PETCI
字斟句酌,choose one's words with great care,VERIFIED,PETCI
存而不论,leave it open,VERIFIED,PETCI
存亡绝续,be at stake,VERIFIED,PETCI
孜孜不倦,tireless,VERIFIED,PETCI
孝子贤孙,filial offspring,VERIFIED,PETCI
孤芳自赏,indulge in self-admiration,VERIFIED,PETCI
孤陋寡闻,ignorant and ill-informed,VERIFIED,PETCI
孤立无援,left high and dry,VERIFIED,PETCI
孤苦伶仃,sad and lonely,VERIFIED,PETCI
孤家寡人,a loner,VERIFIED,PETCI
孤军奋战,fight in isolation,VERIFIED,PETCI
孤行己见,follow one's own bigoted course,VERIFIED,PETCI
孤掌难鸣,it's difficult to achieve anything without support,VERIFIED,PETCI
孤注一掷,stake everything on a single throw,VERIFIED,PETCI
学而不厌,have an insatiable desire to learn,VERIFIED,PETCI
学以致用,learn in order to practise,VERIFIED,PETCI
学无止境,there is no end to learning,VERIFIED,PETCI
冗词赘句,verbose wording,VERIFIED,PETCI
守口如瓶,be tight-mouthed,VERIFIED,PETCI
守株待兔,wait for gains without pains,VERIFIED,PETCI
安步当车,walk rather than ride,VERIFIED,PETCI
安不忘危,in time of peace do not forget danger,VERIFIED,PETCI
安民告示,a notice to reassure the public,VERIFIED,PETCI
安分守己,be contented with one's lot,VERIFIED,PETCI
安土重迁,hate to leave a place where one has lived long,VERIFIED,PETCI
安家落户,settle down,VERIFIED,PETCI
安居乐业,quite contented with one's life and work,VERIFIED,PETCI
安之若素,regard with equanimity,VERIFIED,PETCI
安身立命,settle down and get on with one's pursuit,VERIFIED,PETCI
安然无恙,safe and sound,VERIFIED,PETCI
安如磐石,as solid as a rock,VERIFIED,PETCI
安如泰山,like a rock,VERIFIED,PETCI
安营扎寨,camp,VERIFIED,PETCI
安于现状,be content with things as they are,VERIFIED,PETCI
完璧归赵,return a thing whole to its owner,VERIFIED,PETCI
完美无缺,be flawless and perfect,VERIFIED,PETCI
官逼民反,the ruler's persecution drives the people to rebel,VERIFIED,PETCI
官官相护,bureaucrats shield each other,VERIFIED,PETCI
官样文章,red tape,VERIFIED,PETCI
害群之马,a black sheep,VERIFIED,PETCI
宴安鸩毒,seeking pleasure is like drinking poisoned wine,VERIFIED,PETCI
家破人亡,with the family broken up and decimated,VERIFIED,PETCI
家徒四壁,a house empty of all furniture,VERIFIED,PETCI
家给人足,each family is provided for and,VERIFIED,PETCI
家丑不可外扬,don't wash your dirty linen in public,VERIFIED,PETCI
家常便饭,common occurrence,VERIFIED,PETCI
家喻户晓,widely known,VERIFIED,PETCI
容光焕发,radiant beauty,VERIFIED,PETCI
密云不雨,trouble is brewing,VERIFIED,PETCI
寄人篱下,live under another's roof,VERIFIED,PETCI
寅吃卯粮,draw one's pay in advance,VERIFIED,PETCI
富丽堂皇,magnificent,VERIFIED,PETCI
富国强兵,enrich the nation and increase its military power,VERIFIED,PETCI
富贵不能淫,neither riches nor honors can corrupt one,VERIFIED,PETCI
寒来暑往,with the passage,VERIFIED,PETCI
察言观色,watch a person's every mood,VERIFIED,PETCI
宁缺毋滥,would rather go without than be contented with anything less satisfactory,VERIFIED,PETCI
宁死不屈,death before dishonor,VERIFIED,PETCI
宁为鸡口，无为牛后,would rather be a leader anywhere then a follower,VERIFIED,PETCI
宁为玉碎，不为瓦全,better to die in glory than survive with dishonor,VERIFIED,PETCI
寡不敌众,hopelessly outnumbered,VERIFIED,PETCI
寡廉鲜耻,shameless,VERIFIED,PETCI
寡见少闻,have only limited knowledge,VERIFIED,PETCI
寥寥无几,very few,VERIFIED,PETCI
寥若晨星,few and far between,VERIFIED,PETCI
实事求是,be practical and realistic,VERIFIED,PETCI
审时度势,judge the hour and size up the situation,VERIFIED,PETCI
宽打窄用,budget liberally and spend sparingly,VERIFIED,PETCI
宽大为怀,liberal-minded,VERIFIED,PETCI
宽宏大量,magnanimity,VERIFIED,PETCI
宠辱不惊,unmoved either by favor or disgrace,VERIFIED,PETCI
寸步不离,not let out of one's sight,VERIFIED,PETCI
寸步难行,cannot walk a single step,VERIFIED,PETCI
寸土必争,contest every inch of land,VERIFIED,PETCI
寸金难买寸光阴,time is more precious than gold,VERIFIED,PETCI
寸草不留,not even so much as a blade of grass left,VERIFIED,PETCI
封官许愿,promise high posts and other favors,VERIFIED,PETCI
专横跋扈,despotic,VERIFIED,PETCI
专心致志,be bent on ...,VERIFIED,PETCI
将功补过,make up for one's faults by good deeds,VERIFIED,PETCI
将功赎罪,redeem sins by good deeds,VERIFIED,PETCI
将计就计,counterplot,VERIFIED,PETCI
将信将疑,indecision,VERIFIED,PETCI
将错就错,take the wrong and make the best of it,VERIFIED,PETCI
将欲取之，必先予之,"in order to take, one must first give",VERIFIED,PETCI
尊师重道,honor the teacher and respect his teachings,VERIFIED,PETCI
寻根究底,get to the bottom of things,VERIFIED,PETCI
寻欢作乐,seek pleasure and make merry,VERIFIED,PETCI
寻章摘句,write in clichés without originality,VERIFIED,PETCI
寻事生非,make trouble,VERIFIED,PETCI
寻死觅活,repeatedly attempt suicide,VERIFIED,PETCI
对牛弹琴,talk over people's heads,VERIFIED,PETCI
对症下药,administer medicine according to the diagnosis,VERIFIED,PETCI
小不忍则乱大谋,lack of forbearance in small matters upsets great plans,VERIFIED,PETCI
小题大作,make a mountain out of a molehill,VERIFIED,PETCI
小家碧玉,a pretty girl from a humble home,VERIFIED,PETCI
小巧玲珑,small and exquisite,VERIFIED,PETCI
小心翼翼,with great care,VERIFIED,PETCI
小丑跳梁,a contemptible wretch making trouble,VERIFIED,PETCI
小试锋芒,display only a small part of one's talent,VERIFIED,PETCI
小手小脚,timid,VERIFIED,PETCI
小恩小惠,petty favors,VERIFIED,PETCI
小巫见大巫,feel dwarfed,VERIFIED,PETCI
少不更事,young and little-experienced,VERIFIED,PETCI
少头无尾,unfinished,VERIFIED,PETCI
少年老成,a young person lacking in vigor and drive,VERIFIED,PETCI
少见多怪,ignorant,VERIFIED,PETCI
少壮不努力，老大徒伤悲,laziness in youth spells regret in old age,VERIFIED,PETCI
稍安勿躁,don't be impatient,VERIFIED,PETCI
尖酸刻薄,with biting sarcasm,VERIFIED,PETCI
就地取材,use local materials,VERIFIED,PETCI
就事论事,judge the case as it stands,VERIFIED,PETCI
尸横遍野,a field littered with corpses,VERIFIED,PETCI
尸位素餐,hold down a job without doing a stroke of work,VERIFIED,PETCI
尺短寸长,everyone has his strong and weak points,VERIFIED,PETCI
尾大不掉,too cumbersome to be effective,VERIFIED,PETCI
局促不安,ill at ease,VERIFIED,PETCI
居高临下,occupy a commanding position,VERIFIED,PETCI
居高自傲,pride oneself on one's merits,VERIFIED,PETCI
居心叵测,harbor evil intentions,VERIFIED,PETCI
居安思危,maintain vigilance in peace time,VERIFIED,PETCI
屈打成招,confess to false charges under torture,VERIFIED,PETCI
屈指可数,can be counted an one's fingers - very few,VERIFIED,PETCI
屠门大嚼,stand before a butcher's and masticate vigorously - of one who ardently desiring the unattainable seeks to solace himself in this manner,VERIFIED,PETCI
屡教不改,refuse to correct one's errors despite repeated education,VERIFIED,PETCI
屡见不鲜,common occurrence,VERIFIED,PETCI
屡试不爽,time-tested,VERIFIED,PETCI
屡次三番,repeatedly,VERIFIED,PETCI
层出不穷,spring up one after another,VERIFIED,PETCI
履险如夷,handle a crisis without difficulty,VERIFIED,PETCI
山南海北,all over the land,VERIFIED,PETCI
山高水长,high as mountains and long as rivers - one's nobility or reputation lasts forever,VERIFIED,PETCI
山清水秀,green hills and clean waters - picturesque scenery,VERIFIED,PETCI
山穷水尽,at the end of one's rope,VERIFIED,PETCI
山珍海错,delicacies from land and sea,VERIFIED,PETCI
山雨欲来风满楼,the turbulent wind precedes the mountain storm,VERIFIED,PETCI
岌岌可危,in a precarious situation,VERIFIED,PETCI
峥嵘岁月,eventful years,VERIFIED,PETCI
岿然不动,steadfastly stand one's ground,VERIFIED,PETCI
巍然屹立,stand rock-firm,VERIFIED,PETCI
川流不息,uninterrupted flow,VERIFIED,PETCI
工力悉敌,the artistical attainments of both are well-matched,VERIFIED,PETCI
左道旁门,heresy,VERIFIED,PETCI
左顾右盼,glance left and right,VERIFIED,PETCI
左支右绌,not have enough money to cover the expenses,VERIFIED,PETCI
左右逢源,win advantage from both sides,VERIFIED,PETCI
左右开弓,box somebody on both ears,VERIFIED,PETCI
左右为难,in a dilemma,VERIFIED,PETCI
巧妇难为无米之炊,you can't make something out of nothing,VERIFIED,PETCI
巧夺天工,wonderful workmanship excelling nature,VERIFIED,PETCI
巧立名目,concoct various pretexts,VERIFIED,PETCI
巧取豪夺,secure by force or by trick,VERIFIED,PETCI
巧舌如簧,honeymouthed,VERIFIED,PETCI
巧言令色,pleasing words and smoothness of manner,VERIFIED,PETCI
差强人意,just passable,VERIFIED,PETCI
差之毫厘，谬以千里,one false move may lose the game,VERIFIED,PETCI
己所不欲，勿施于人,do not do to others that which you do not wish to be done to yourself,VERIFIED,PETCI
师心自用,self-opinionated,VERIFIED,PETCI
师直为壮,an army fighting for a just cause has high morale,VERIFIED,PETCI
师出无名,there is no excuse for the campaign,VERIFIED,PETCI
席不暇暖,be constantly on the go,VERIFIED,PETCI
常备不懈,be ever prepared,VERIFIED,PETCI
平白无故,for no reason,VERIFIED,PETCI
平步青云,have a meteoric rise,VERIFIED,PETCI
平铺直叙,"tell in a simple, straightforward way",VERIFIED,PETCI
平分秋色,have equal shares,VERIFIED,PETCI
平淡无奇,very ordinary,VERIFIED,PETCI
平地风波,"a sudden, unexpected turn of events",VERIFIED,PETCI
平地楼台,start from scratch,VERIFIED,PETCI
平地一声雷,a sudden big change,VERIFIED,PETCI
平起平坐,sit as equals at the same table with,VERIFIED,PETCI
平心静气,calmly,VERIFIED,PETCI
平易近人,amiable and easy of approach,VERIFIED,PETCI
年富力强,in the prime of life,VERIFIED,PETCI
年高德劭,of venerable age and eminent virtue,VERIFIED,PETCI
年轻力壮,young and vigorous,VERIFIED,PETCI
年深日久,with the passage of time,VERIFIED,PETCI
幸灾乐祸,pleased at the calamity of others,VERIFIED,PETCI
度日如年,one day seems to be as long as one year,VERIFIED,PETCI
座无虚席,packed to capacity,VERIFIED,PETCI
康庄大道,main road,VERIFIED,PETCI
庸中佼佼,a giant among dwarfs,VERIFIED,PETCI
庸人自扰,make much ado about nothing,VERIFIED,PETCI
庸言庸行,commonplace words and deeds,VERIFIED,PETCI
废寝忘食,be much absorbed in work or study,VERIFIED,PETCI
广开言路,encourage the free airing of views,VERIFIED,PETCI
庐山真面目,one's true colors,VERIFIED,PETCI
庞然大物,a huge monster,VERIFIED,PETCI
延年益寿,prolong life,VERIFIED,PETCI
延颈企踵,crane the neck and stand on tiptoe,VERIFIED,PETCI
弄假成真,what was make-believe has become reality,VERIFIED,PETCI
弄巧成拙,try to be clever only to end up with a blunder,VERIFIED,PETCI
弄虚作假,resort to deception,VERIFIED,PETCI
引狼入室,invite a wolf into the house,VERIFIED,PETCI
引吭高歌,sing heartily,VERIFIED,PETCI
引火烧身,a self-destructive course of action,VERIFIED,PETCI
引经据典,quote the classics,VERIFIED,PETCI
引人注目,conspicuous,VERIFIED,PETCI
引人入胜,alluring,VERIFIED,PETCI
引而不发,draw the bow but not discharge the arrow,VERIFIED,PETCI
引为鉴戒,take warning,VERIFIED,PETCI
弦外之音,overtones,VERIFIED,PETCI
弱不禁风,extremely delicate,VERIFIED,PETCI
弱不胜衣,too weak to bear the weight of the clothing,VERIFIED,PETCI
弱肉强食,the weak at the mercy of the strong,VERIFIED,PETCI
张灯结彩,decorate with lanterns and colored hangings,VERIFIED,PETCI
张冠李戴,confuse one thing with another,VERIFIED,PETCI
张口结舌,be at a loss for words,VERIFIED,PETCI
张皇失措,lose one's head,VERIFIED,PETCI
张三李四,"any Tom, Dick or Harry",VERIFIED,PETCI
张牙舞爪,show one's fangs and claws,VERIFIED,PETCI
张弩之末,on the decline and no longer what it was,VERIFIED,PETCI
强奸民意,defile public opinion,VERIFIED,PETCI
强将手下无弱兵,there are no poor soldiers under a good general,VERIFIED,PETCI
强中自有强中手,"however strong you are, there's always someone stronger",VERIFIED,PETCI
强人所难,try to make somebody do something which he won't or can't,VERIFIED,PETCI
强词夺理,use lame arguments and perverted logic,VERIFIED,PETCI
弹冠相庆,congratulated each other on the prospect of getting good appointments,VERIFIED,PETCI
弹尽粮绝,exhaust ammunition and food supplies,VERIFIED,PETCI
弹丸之地,a little country,VERIFIED,PETCI
弥天大谎,a monstrous lie,VERIFIED,PETCI
弥天大罪,monstrous crimes,VERIFIED,PETCI
形单影只,extremely lonely,VERIFIED,PETCI
形迹可疑,not to be trusted,VERIFIED,PETCI
形形色色,of all shades,VERIFIED,PETCI
形势逼人,the situation is pressing,VERIFIED,PETCI
形影不离,never leave each other's side,VERIFIED,PETCI
形影相吊,alone,VERIFIED,PETCI
彬彬有礼,in a civil manner,VERIFIED,PETCI
彰明较著,easily seen,VERIFIED,PETCI
彼一时，此一时,"the times are different, not comparable",VERIFIED,PETCI
往返徒劳,run back and forth in vain,VERIFIED,PETCI
待价而沽,wait for the right price to sell,VERIFIED,PETCI
待人接物,the way one gets along with people,VERIFIED,PETCI
后发制人,take action after,VERIFIED,PETCI
后来居上,the newcomers have outdone the old hands,VERIFIED,PETCI
后浪推前浪,waves push waves,VERIFIED,PETCI
后顾之忧,fear of attack from behind,VERIFIED,PETCI
后患无穷,source of endless trouble,VERIFIED,PETCI
后继有人,there is no lack of successors to carry on the cause,VERIFIED,PETCI
后继无人,no qualified successor,VERIFIED,PETCI
后起之秀,a promising young person,VERIFIED,PETCI
后生可畏,a youth is to be regarded with respect,VERIFIED,PETCI
径情直行,as direct and smooth as one would wish,VERIFIED,PETCI
徒劳无功,make a futile effort,VERIFIED,PETCI
得不偿失,the loss outweighs the gain,VERIFIED,PETCI
得道多助，失道寡助,a just cause enjoys abundant support while an unjust cause finds little support,VERIFIED,PETCI
得天独厚,be richly endowed by nature,VERIFIED,PETCI
得陇望蜀,having got Kansu he aspires after Szechuan,VERIFIED,PETCI
得过且过,muddle along,VERIFIED,PETCI
得心应手,with facility,VERIFIED,PETCI
得胜归来,return with flying colors,VERIFIED,PETCI
得寸进尺,give him an inch and he'll take an ell,VERIFIED,PETCI
得意忘形,get dizzy with success,VERIFIED,PETCI
得鱼忘筌,ungrateful,VERIFIED,PETCI
从长计议,take more time to consider it,VERIFIED,PETCI
从善如流,readily accept good advice,VERIFIED,PETCI
从容不迫,with ease,VERIFIED,PETCI
从容就义,meet one's fate calmly,VERIFIED,PETCI
